mes_ref,quant_export,val_export,quant_import,val_import
out21,5953,2149564082,11515,1708948981
nov21,5770,1757824186,12317,1719023248
dez21,6245,2125655760,12128,2047451714
jan22,4810,2153042652,11079,1685185075
fev22,4569,2068892346,9726,1388790291
mar22,5427,4958779593,12299,1762377677
abr22,4752,4984976572,9579,1331776028
mai22,5077,3191678578,10755,1240586683
jun22,6021,3831616688,9719,1368845511
jul22,4884,2996818251,10354,1566648182
ago22,5147,3232464894,11094,1714538274
set22,5328,2765504395,10148,1475647333
