mes_ref,volume_exp,volume_imp
01/01/14,5361717924,3917711906
02/01/14,3895306544,4488696469
03/01/14,4820273584,4243077618
04/01/14,7458366629,4599732901
05/01/14,6332212045,4558398686
06/01/14,5035180635,4552458431
07/01/14,5621554676,4602601543
08/01/14,4702266870,3859675147
09/01/14,4721822452,4036802463
10/01/14,5278201635,4509023981
11/01/14,4305476551,3775233402
12/01/14,4650365168,4100688870
01/01/15,4318477675,3428773618
02/01/15,3230374691,2145683475
03/01/15,3884243095,2468803064
04/01/15,4289451223,2597692561
05/01/15,4529614935,2303641374
06/01/15,4231710462,2676806384
07/01/15,4370766719,2238272154
08/01/15,3455960052,2137099186
09/01/15,3677675046,2227530033
10/01/15,2821574513,2296329187
11/01/15,2874713263,1684173308
12/01/15,3650825215,1833489380
01/01/16,3266783074,1965780631
02/01/16,2792533711,1683344808
03/01/16,3325182449,2169496312
04/01/16,3683465210,1265266714
05/01/16,4352903213,1473090578
06/01/16,3162088590,1669132734
07/01/16,2945927828,1472160557
08/01/16,2842854843,1338239844
09/01/16,2645356420,1788980928
10/01/16,2588040888,1757189856
11/01/16,2723743014,1504650373
12/01/16,2749924946,1808832028
01/01/17,2389120308,1370003789
02/01/17,1846240308,1204964064
03/01/17,3884411725,1476528999
04/01/17,3376722569,1405860880
05/01/17,4094748040,1485490376
06/01/17,3607584982,1336894041
07/01/17,2935441645,1543548291
08/01/17,3420392983,1524200226
09/01/17,2780803507,1471935045
10/01/17,2829062213,1353087954
11/01/17,2481157186,1567272114
12/01/17,3976510883,1818015337
01/01/18,2840869003,1552054805
02/01/18,2827912920,1200645071
03/01/18,4261460865,1586617196
04/01/18,5125432917,1889573271
05/01/18,5196781524,1860391476
06/01/18,4053749328,2045304726
07/01/18,3794572332,2883139476
08/01/18,4851999752,2741562219
09/01/18,2804885405,2586547082
10/01/18,4329814925,3314112231
11/01/18,3821215575,2280899294
12/01/18,3554964894,2240076660
01/01/19,2185993284,2021329567
02/01/19,2826369377,1754476826
03/01/19,3110396538,1715948968
04/01/19,3353819768,2310263555
05/01/19,3077265688,2495560015
06/01/19,2809721830,2451653794
07/01/19,2041600778,1874723515
08/01/19,3865320551,1953323138
09/01/19,3086370160,2290789581
10/01/19,3064895675,2035003397
11/01/19,2580491005,1968941265
12/01/19,2355333515,2125949338
01/01/20,2701847657,1559967141
02/01/20,2476573558,1567132890
03/01/20,4220684593,1306234889
04/01/20,2738171735,1496769808
05/01/20,2321080907,1350864642
06/01/20,2336624827,1436415163
07/01/20,2309292987,1387382104
08/01/20,2436669251,1088449308
09/01/20,2383374229,1212464802
10/01/20,2210698936,1548998975
11/01/20,1328003295,1614239180
12/01/20,1821611055,2145023159
01/01/21,1553893093,1236592445
02/01/21,2020454236,1626645754
03/01/21,4285885574,2470108905
04/01/21,2699553357,2202200672
05/01/21,2926766302,2278414171
06/01/21,3085956725,2804852894
07/01/21,3142685531,2316712279
08/01/21,2199959948,2734320955
09/01/21,3132853209,2787214459
10/01/21,2547471560,2275281494
11/01/21,1885256031,2202477896
12/01/21,2885395748,2879979963
01/01/22,2012679460,1980507622
02/01/22,2481821514,2033907537
03/01/22,4952244108,2516158582
04/01/22,4485273831,2593879532
05/01/22,4966102207,3312641086
06/01/22,5158677181,2938677485
07/01/22,3533964036,3094128967
08/01/22,3650162901,3131620944
09/01/22,4454459835,3276569668
10/01/22,3999178256,3468360502
11/01/22,3297019753,3570860167
12/01/22,2449747659,2550812518
